"Pathway","pval_up","pval_dn"
"1","Neutrophil degranulation",1,1
"2","Platelet degranulation ",1,1
"3","Common Pathway of Fibrin Clot Formation",1,1
"4","Integrin cell surface interactions",1,1
"5","Integrin signaling",1,1
"6","GRB2:SOS provides linkage to MAPK signaling for Integrins ",1,1
"7","p130Cas linkage to MAPK signaling for integrins",1,1
"8","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",1,1
"9","MAP2K and MAPK activation",1,1
"10","Regulation of TLR by endogenous ligand",1,1
"11","Post-translational protein phosphorylation",1,1
"12","Collagen degradation",1,1
"13","Collagen biosynthesis and modifying enzymes",1,1
"14","Signaling by PDGF",1,1
"15","Assembly of collagen fibrils and other multimeric structures",1,1
"16","ECM proteoglycans",1,1
"17","NCAM1 interactions",1,1
"18","Collagen chain trimerization",1,1
"19","Molecules associated with elastic fibres",1,1
"20","TGF-beta receptor signaling activates SMADs",1,1
"21","Other interleukin signaling",1,1
"22","COPII-mediated vesicle transport",1,1
"23","Cargo concentration in the ER",1,1
"24","Alternative complement activation",1,1
"25","Activation of C3 and C5",1,1
"26","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",1,1
"27","Peptide ligand-binding receptors",1,1
"28","G alpha (i) signalling events",1,1
"29","Regulation of Complement cascade",1,1
"30","Initial triggering of complement",1,1
"31","ER-Phagosome pathway",1,1
"32","Endosomal/Vacuolar pathway",1,1
"33","DAP12 interactions",1,1
"34","DAP12 signaling",1,1
"35","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",1,1
"36","Extracellular matrix organization",1,1
"37","Crosslinking of collagen fibrils",1,1
"38","Laminin interactions",1,1
"39","Non-integrin membrane-ECM interactions",1,1
"40","Cell surface interactions at the vascular wall",1,1
"41","Downregulation of TGF-beta receptor signaling",1,1
"42","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",1,1
"43","Syndecan interactions",1,1
"44","RUNX3 regulates CDKN1A transcription",1,1
"45","Regulation of RUNX3 expression and activity",1,1
"46","RUNX3 regulates p14-ARF",1,1
"47","Recycling of bile acids and salts",1,1
"48","Heme biosynthesis",1,1
"49","Heme degradation",1,1
"50","Scavenging of heme from plasma",1,1
"51","HDL remodeling",1,1
"52","Cytoprotection by HMOX1",1,1
"53","Aspirin ADME",1,1
"54","Prednisone ADME",1,1
"55","Dissolution of Fibrin Clot",1,1
"56","GPVI-mediated activation cascade",1,1
"57","GP1b-IX-V activation signalling",1,1
"58","Platelet Adhesion to exposed collagen",1,1
"59","Platelet Aggregation (Plug Formation)",1,1
"60","MET activates PTK2 signaling",1,1
"61","Activation of Matrix Metalloproteinases",1,1
"62","LDL remodeling",1,1
"63","RHO GTPases Activate NADPH Oxidases",1,1
"64","Metal sequestration by antimicrobial proteins",1,1
"65","O-glycosylation of TSR domain-containing proteins",1,1
"66","Keratan sulfate biosynthesis",1,1
"67","Keratan sulfate degradation",1,1
"68","Degradation of the extracellular matrix",1,1
"69","Elastic fibre formation",1,1
"70","Terminal pathway of complement",1,1
"71","Antimicrobial peptides",1,1
"72","MET interacts with TNS proteins",1,1
"73","Synthesis of 5-eicosatetraenoic acids",1,1
"74","Atorvastatin ADME",1,1
"75","Anchoring fibril formation",1,1
"76","Keratinization",1,1
"77","Formation of the cornified envelope",1,1
"78","Chemokine receptors bind chemokines",1,1
